model,subject_id,threshold_used,neutral_label_removed,best_params,mae,rmse,r2
SVM,22,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",1.7463166572953108,2.2216622352626656,-0.23202273952628638
SVM,23,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",1.8679214619688365,2.377851407360785,-0.3124793237158565
SVM,24,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",2.167154720772535,2.5801428334197123,-0.09813477579955876
SVM,25,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",1.4924405383808652,1.8807799968510148,-0.3468214715092168
SVM,26,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",1.9658874648836635,2.390288942385394,-0.27965983761243307
SVM,27,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",1.265238684019775,1.6428953892481508,-0.4425280721571716
SVM,28,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",1.6826009379839555,1.8898463711344091,-0.2471766182909847
SVM,29,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",1.4916857065357987,1.8183502775492912,-0.32504095926643317
SVM,30,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",1.0777358791445522,1.4249882453310705,0.1201990843743076
SVM,31,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",2.0841290775698003,2.453527244700167,-1.5447704774247977
SVM,32,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",2.312704317960742,2.695807671643519,-0.21207067361937915
SVM,33,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",1.5521522782314707,1.9354215192956126,-1.65861747083884
SVM,34,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",2.3377141621416406,2.79785469171471,-0.43727535953151797
SVM,35,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",1.8909196842171143,2.224353767918817,-1.1449781870757096
SVM,36,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",2.4238663488620484,2.746712273611252,-9.553954362763461
SVM,37,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",3.4340720362683004,3.7505950157177854,-15.43099424915373
SVM,38,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",2.2864451018587078,2.6737812659148914,-0.6011996518259881
SVM,39,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",1.7960245102643404,2.03122536039314,-3.029438295305667
SVM,40,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",1.6909492605811602,2.0292979076362343,-3.406955510041496
SVM,41,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",1.988732481963749,2.294336672386089,-0.08174118094437244
SVM,42,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",1.7895451340557433,2.1739931994406128,-0.3987575758278954
SVM,43,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",1.6293906557496494,1.8231638926406417,-0.32214132567502674
SVM,44,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",2.1541747814725376,2.5188283728667398,-0.4478298022372258
SVM,45,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",1.3859158754412322,1.676791298088153,-1.6594247284524917
SVM,46,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",2.196069269338801,2.7036279742252467,-4.218818468288106
SVM,47,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",2.451143882110208,2.7553526342781307,0.0073630773069766065
SVM,48,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",1.2712638588010403,1.5170943577906857,-2.8679251408788935
SVM,49,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",1.4333667179992537,1.7002850581445128,-1.0518622430357896
SVM,50,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",1.8266062689368936,2.1877962968318756,0.028352136964417518
SVM,51,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",1.3140292512784226,1.5395293865819137,-0.05753130706791576
SVM,52,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",3.296475074129284,3.776208859493916,-0.6877667037701614
SVM,53,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",2.3847908452559996,2.924277541720956,-1.2208046463093796
SVM,54,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",2.6422091306003614,2.8527582571267596,-0.16612111228218684
SVM,55,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",2.0941095363109725,2.6493495213111093,-0.380355320786848
SVM,56,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",1.2820287134780506,1.6319897174215936,-1.536562321685536
SVM,57,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",3.410434708169926,3.6574995234222842,-2.1884461036681184
SVM,58,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",1.3199353765032809,1.5727241688738234,-0.5641345617205473
SVM,59,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",1.1919814339471788,1.4122479214840125,-0.8840506017874314
SVM,60,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",2.8783349702448295,3.1906682156791666,-0.6967272770908792
SVM,61,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",2.220630100843709,2.6385011930286133,-0.07729018071734428
SVM,62,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",2.877040708344205,3.381425925832074,-0.7889220460668942
SVM,63,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",1.7136829469546149,2.043989156363116,-0.2523249832027863
SVM,64,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",3.213279172997937,3.456446577569281,-0.39083122944935944
Random Forest,22,5,True,"{'clf__max_depth': 10, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__n_estimators': 100}",1.5301477095431721,1.8361283176749372,0.15847171994596065
