model,subject_id,threshold_used,neutral_label_removed,best_params,acc,f1,precision,recall
GAT,22,5.0,True,"{""dropout"": 0.2, ""heads"": 4, ""hidden_channels"": 64, ""inner_score"": 0.4500976537033406, ""learning_rate"": 0.001, ""selected_epochs"": 2, ""weight_decay"": 0.0}",0.5263157894736842,0.3448275862068966,0.2631578947368421,0.5
GAT,23,5.0,True,"{""dropout"": 0.5, ""heads"": 2, ""hidden_channels"": 32, ""inner_score"": 0.4541860590860643, ""learning_rate"": 0.001, ""selected_epochs"": 18, ""weight_decay"": 0.0005}",0.6842105263157895,0.525,0.8333333333333333,0.5714285714285714
GAT,24,5.0,True,"{""dropout"": 0.5, ""heads"": 2, ""hidden_channels"": 64, ""inner_score"": 0.453467676872455, ""learning_rate"": 0.001, ""selected_epochs"": 1, ""weight_decay"": 0.0}",0.3888888888888889,0.28,0.19444444444444445,0.5
GAT,25,5.0,True,"{""dropout"": 0.5, ""heads"": 4, ""hidden_channels"": 64, ""inner_score"": 0.4582080990371599, ""learning_rate"": 0.001, ""selected_epochs"": 15, ""weight_decay"": 0.0}",0.8421052631578947,0.45714285714285713,0.42105263157894735,0.5
GAT,26,5.0,True,"{""dropout"": 0.5, ""heads"": 4, ""hidden_channels"": 64, ""inner_score"": 0.4725531644172032, ""learning_rate"": 0.001, ""selected_epochs"": 1, ""weight_decay"": 0.0}",0.8,0.4444444444444444,0.4,0.5
GAT,27,5.0,True,"{""dropout"": 0.2, ""heads"": 2, ""hidden_channels"": 32, ""inner_score"": 0.4589733329117653, ""learning_rate"": 0.001, ""selected_epochs"": 1, ""weight_decay"": 0.0}",0.4,0.375,0.37362637362637363,0.3838383838383838
GAT,28,5.0,True,"{""dropout"": 0.2, ""heads"": 4, ""hidden_channels"": 64, ""inner_score"": 0.471331161734597, ""learning_rate"": 0.001, ""selected_epochs"": 3, ""weight_decay"": 0.0}",0.7368421052631579,0.42424242424242425,0.3888888888888889,0.4666666666666667
GAT,29,5.0,True,"{""dropout"": 0.5, ""heads"": 2, ""hidden_channels"": 32, ""inner_score"": 0.455985932793916, ""learning_rate"": 0.001, ""selected_epochs"": 1, ""weight_decay"": 0.0}",0.2631578947368421,0.20833333333333334,0.2777777777777778,0.16666666666666666
GAT,30,5.0,True,"{""dropout"": 0.2, ""heads"": 2, ""hidden_channels"": 64, ""inner_score"": 0.47030000863474125, ""learning_rate"": 0.001, ""selected_epochs"": 13, ""weight_decay"": 0.0}",0.47368421052631576,0.32142857142857145,0.34615384615384615,0.3
GAT,31,5.0,True,"{""dropout"": 0.5, ""heads"": 2, ""hidden_channels"": 32, ""inner_score"": 0.45126077677323323, ""learning_rate"": 0.001, ""selected_epochs"": 1, ""weight_decay"": 0.0}",0.9444444444444444,0.4857142857142857,0.5,0.4722222222222222
GAT,32,5.0,True,"{""dropout"": 0.5, ""heads"": 4, ""hidden_channels"": 32, ""inner_score"": 0.4525065573153541, ""learning_rate"": 0.001, ""selected_epochs"": 10, ""weight_decay"": 0.0}",0.3157894736842105,0.28405797101449276,0.6388888888888888,0.5357142857142857
GAT,33,5.0,True,"{""dropout"": 0.2, ""heads"": 4, ""hidden_channels"": 64, ""inner_score"": 0.474272669765484, ""learning_rate"": 0.001, ""selected_epochs"": 5, ""weight_decay"": 0.0}",1.0,1.0,1.0,1.0
GAT,34,5.0,True,"{""dropout"": 0.2, ""heads"": 4, ""hidden_channels"": 64, ""inner_score"": 0.4698899055439529, ""learning_rate"": 0.001, ""selected_epochs"": 9, ""weight_decay"": 0.0005}",0.3157894736842105,0.24,0.15789473684210525,0.5
GAT,35,5.0,True,"{""dropout"": 0.2, ""heads"": 4, ""hidden_channels"": 64, ""inner_score"": 0.44799425103291696, ""learning_rate"": 0.001, ""selected_epochs"": 1, ""weight_decay"": 0.0}",0.8888888888888888,0.47058823529411764,0.47058823529411764,0.47058823529411764
GAT,36,5.0,True,"{""dropout"": 0.5, ""heads"": 4, ""hidden_channels"": 32, ""inner_score"": 0.4817318157973654, ""learning_rate"": 0.001, ""selected_epochs"": 2, ""weight_decay"": 0.0005}",0.95,0.48717948717948717,0.5,0.475
GAT,37,5.0,True,"{""dropout"": 0.2, ""heads"": 2, ""hidden_channels"": 32, ""inner_score"": 0.4487999904340289, ""learning_rate"": 0.001, ""selected_epochs"": 3, ""weight_decay"": 0.0}",0.0,0.0,0.0,0.0
GAT,38,5.0,True,"{""dropout"": 0.2, ""heads"": 2, ""hidden_channels"": 32, ""inner_score"": 0.442568315611076, ""learning_rate"": 0.001, ""selected_epochs"": 1, ""weight_decay"": 0.0}",0.4,0.2857142857142857,0.23529411764705882,0.36363636363636365
GAT,39,5.0,True,"{""dropout"": 0.5, ""heads"": 4, ""hidden_channels"": 64, ""inner_score"": 0.4786524329558161, ""learning_rate"": 0.001, ""selected_epochs"": 7, ""weight_decay"": 0.0}",1.0,1.0,1.0,1.0
GAT,40,5.0,True,"{""dropout"": 0.2, ""heads"": 2, ""hidden_channels"": 32, ""inner_score"": 0.4446398268098828, ""learning_rate"": 0.001, ""selected_epochs"": 4, ""weight_decay"": 0.0}",1.0,1.0,1.0,1.0
GAT,41,5.0,True,"{""dropout"": 0.5, ""heads"": 4, ""hidden_channels"": 32, ""inner_score"": 0.4445912970971011, ""learning_rate"": 0.001, ""selected_epochs"": 1, ""weight_decay"": 0.0}",0.65,0.6011396011396011,0.5989010989010989,0.6071428571428572
GAT,42,5.0,True,"{""dropout"": 0.2, ""heads"": 4, ""hidden_channels"": 64, ""inner_score"": 0.43941897158716897, ""learning_rate"": 0.001, ""selected_epochs"": 2, ""weight_decay"": 0.0}",0.16666666666666666,0.14285714285714285,0.08333333333333333,0.5
