model,subject_id,threshold_used,neutral_label_removed,best_params,acc,f1,precision,recall
GAT,22,0.0,True,"{""dropout"": 0.2, ""heads"": 4, ""hidden_channels"": 64, ""inner_score"": 0.5755315250996046, ""learning_rate"": 0.001, ""selected_epochs"": 3, ""weight_decay"": 0.0}",0.25,0.2,0.16666666666666666,0.25
GAT,23,0.0,True,"{""dropout"": 0.5, ""heads"": 4, ""hidden_channels"": 64, ""inner_score"": 0.5671543543108789, ""learning_rate"": 0.001, ""selected_epochs"": 4, ""weight_decay"": 0.0}",0.625,0.5636363636363637,0.7857142857142857,0.625
GAT,24,0.0,True,"{""dropout"": 0.2, ""heads"": 4, ""hidden_channels"": 64, ""inner_score"": 0.5570109477676911, ""learning_rate"": 0.001, ""selected_epochs"": 4, ""weight_decay"": 0.0}",0.5,0.4666666666666667,0.5,0.5
GAT,25,0.0,True,"{""dropout"": 0.2, ""heads"": 4, ""hidden_channels"": 64, ""inner_score"": 0.5886268224471202, ""learning_rate"": 0.001, ""selected_epochs"": 4, ""weight_decay"": 0.0}",0.625,0.6190476190476191,0.6333333333333333,0.625
GAT,26,0.0,True,"{""dropout"": 0.5, ""heads"": 4, ""hidden_channels"": 64, ""inner_score"": 0.5814516469400467, ""learning_rate"": 0.001, ""selected_epochs"": 5, ""weight_decay"": 0.0}",0.75,0.7333333333333334,0.75,0.8333333333333333
GAT,27,0.0,True,"{""dropout"": 0.5, ""heads"": 2, ""hidden_channels"": 64, ""inner_score"": 0.6177679732247193, ""learning_rate"": 0.001, ""selected_epochs"": 22, ""weight_decay"": 0.0005}",0.375,0.36507936507936506,0.41666666666666663,0.43333333333333335
GAT,28,0.0,True,"{""dropout"": 0.5, ""heads"": 2, ""hidden_channels"": 32, ""inner_score"": 0.5698221710747768, ""learning_rate"": 0.001, ""selected_epochs"": 15, ""weight_decay"": 0.0}",0.5,0.4666666666666667,0.5,0.5
GAT,29,0.0,True,"{""dropout"": 0.5, ""heads"": 4, ""hidden_channels"": 64, ""inner_score"": 0.5592185609778829, ""learning_rate"": 0.001, ""selected_epochs"": 2, ""weight_decay"": 0.0005}",0.875,0.8545454545454545,0.9166666666666667,0.8333333333333333
GAT,30,0.0,True,"{""dropout"": 0.5, ""heads"": 4, ""hidden_channels"": 64, ""inner_score"": 0.566526029198281, ""learning_rate"": 0.001, ""selected_epochs"": 4, ""weight_decay"": 0.0}",0.5,0.3333333333333333,0.25,0.5
GAT,31,0.0,True,"{""dropout"": 0.5, ""heads"": 4, ""hidden_channels"": 64, ""inner_score"": 0.6018237368644924, ""learning_rate"": 0.001, ""selected_epochs"": 8, ""weight_decay"": 0.0005}",0.5,0.4666666666666667,0.7142857142857143,0.6
GAT,32,0.0,True,"{""dropout"": 0.2, ""heads"": 4, ""hidden_channels"": 64, ""inner_score"": 0.5782150182449285, ""learning_rate"": 0.001, ""selected_epochs"": 4, ""weight_decay"": 0.0}",0.75,0.75,0.75,0.75
GAT,33,0.0,True,"{""dropout"": 0.5, ""heads"": 4, ""hidden_channels"": 32, ""inner_score"": 0.5787908621038108, ""learning_rate"": 0.001, ""selected_epochs"": 27, ""weight_decay"": 0.0005}",0.625,0.6190476190476191,0.6333333333333333,0.625
GAT,34,0.0,True,"{""dropout"": 0.2, ""heads"": 2, ""hidden_channels"": 32, ""inner_score"": 0.595882374695904, ""learning_rate"": 0.001, ""selected_epochs"": 1, ""weight_decay"": 0.0}",0.625,0.6190476190476191,0.6333333333333333,0.625
GAT,35,0.0,True,"{""dropout"": 0.2, ""heads"": 4, ""hidden_channels"": 64, ""inner_score"": 0.5703480233897008, ""learning_rate"": 0.001, ""selected_epochs"": 2, ""weight_decay"": 0.0005}",0.375,0.36507936507936506,0.3666666666666667,0.375
