model,subject_id,threshold_used,neutral_label_removed,best_params,acc,f1,precision,recall
GAT,22,5.0,True,"{""dropout"": 0.5, ""heads"": 2, ""hidden_channels"": 64, ""inner_score"": 0.5593968449534198, ""learning_rate"": 0.001, ""selected_epochs"": 25, ""weight_decay"": 0.0005}",0.42105263157894735,0.4145658263305322,0.4147727272727273,0.41666666666666663
GAT,23,5.0,True,"{""dropout"": 0.5, ""heads"": 2, ""hidden_channels"": 64, ""inner_score"": 0.5522733523511205, ""learning_rate"": 0.001, ""selected_epochs"": 13, ""weight_decay"": 0.0}",0.5263157894736842,0.47384615384615386,0.5166666666666666,0.5111111111111111
GAT,24,5.0,True,"{""dropout"": 0.5, ""heads"": 2, ""hidden_channels"": 32, ""inner_score"": 0.5551621368408778, ""learning_rate"": 0.001, ""selected_epochs"": 7, ""weight_decay"": 0.0}",0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444
GAT,25,5.0,True,"{""dropout"": 0.2, ""heads"": 4, ""hidden_channels"": 32, ""inner_score"": 0.5594182200545094, ""learning_rate"": 0.001, ""selected_epochs"": 6, ""weight_decay"": 0.0}",0.3684210526315789,0.2692307692307692,0.20588235294117646,0.3888888888888889
GAT,26,5.0,True,"{""dropout"": 0.2, ""heads"": 4, ""hidden_channels"": 64, ""inner_score"": 0.5509917730152976, ""learning_rate"": 0.001, ""selected_epochs"": 2, ""weight_decay"": 0.0005}",0.7,0.6875,0.7272727272727273,0.8
GAT,27,5.0,True,"{""dropout"": 0.2, ""heads"": 4, ""hidden_channels"": 32, ""inner_score"": 0.5570393299224653, ""learning_rate"": 0.001, ""selected_epochs"": 2, ""weight_decay"": 0.0005}",0.6,0.4666666666666667,0.7894736842105263,0.5555555555555556
GAT,28,5.0,True,"{""dropout"": 0.5, ""heads"": 4, ""hidden_channels"": 32, ""inner_score"": 0.5665491756087889, ""learning_rate"": 0.001, ""selected_epochs"": 5, ""weight_decay"": 0.0005}",0.5263157894736842,0.5210084033613445,0.5357142857142857,0.5333333333333333
GAT,29,5.0,True,"{""dropout"": 0.5, ""heads"": 2, ""hidden_channels"": 32, ""inner_score"": 0.556014443653745, ""learning_rate"": 0.001, ""selected_epochs"": 1, ""weight_decay"": 0.0005}",0.47368421052631576,0.43452380952380953,0.45,0.4611111111111111
GAT,30,5.0,True,"{""dropout"": 0.2, ""heads"": 2, ""hidden_channels"": 32, ""inner_score"": 0.554376850634013, ""learning_rate"": 0.001, ""selected_epochs"": 2, ""weight_decay"": 0.0}",0.631578947368421,0.4904214559386973,0.5297619047619048,0.5735294117647058
GAT,31,5.0,True,"{""dropout"": 0.2, ""heads"": 4, ""hidden_channels"": 32, ""inner_score"": 0.5458222871944137, ""learning_rate"": 0.001, ""selected_epochs"": 3, ""weight_decay"": 0.0005}",0.6111111111111112,0.48148148148148145,0.7941176470588236,0.5625
GAT,32,5.0,True,"{""dropout"": 0.2, ""heads"": 2, ""hidden_channels"": 64, ""inner_score"": 0.5440542735812373, ""learning_rate"": 0.001, ""selected_epochs"": 2, ""weight_decay"": 0.0}",0.631578947368421,0.6144927536231883,0.641025641025641,0.6222222222222222
GAT,33,5.0,True,"{""dropout"": 0.5, ""heads"": 4, ""hidden_channels"": 64, ""inner_score"": 0.5510935721612307, ""learning_rate"": 0.001, ""selected_epochs"": 5, ""weight_decay"": 0.0005}",0.631578947368421,0.6274509803921569,0.6306818181818181,0.6277777777777778
GAT,34,5.0,True,"{""dropout"": 0.2, ""heads"": 4, ""hidden_channels"": 32, ""inner_score"": 0.5628244226234633, ""learning_rate"": 0.001, ""selected_epochs"": 2, ""weight_decay"": 0.0}",0.42105263157894735,0.2962962962962963,0.2222222222222222,0.4444444444444444
GAT,35,5.0,True,"{""dropout"": 0.2, ""heads"": 4, ""hidden_channels"": 32, ""inner_score"": 0.5424915565834957, ""learning_rate"": 0.001, ""selected_epochs"": 3, ""weight_decay"": 0.0}",0.5555555555555556,0.5324675324675324,0.5416666666666667,0.5375
GAT,36,5.0,True,"{""dropout"": 0.5, ""heads"": 4, ""hidden_channels"": 64, ""inner_score"": 0.5512804151544015, ""learning_rate"": 0.001, ""selected_epochs"": 1, ""weight_decay"": 0.0}",0.6,0.5604395604395604,0.6,0.5757575757575758
GAT,37,5.0,True,"{""dropout"": 0.5, ""heads"": 4, ""hidden_channels"": 64, ""inner_score"": 0.5562818885336468, ""learning_rate"": 0.001, ""selected_epochs"": 5, ""weight_decay"": 0.0005}",0.6470588235294118,0.6136363636363636,0.6333333333333333,0.6142857142857143
GAT,38,5.0,True,"{""dropout"": 0.5, ""heads"": 4, ""hidden_channels"": 64, ""inner_score"": 0.5427248417259766, ""learning_rate"": 0.001, ""selected_epochs"": 6, ""weight_decay"": 0.0005}",0.65,0.6419437340153453,0.6648351648351649,0.65
GAT,39,5.0,True,"{""dropout"": 0.2, ""heads"": 4, ""hidden_channels"": 64, ""inner_score"": 0.5657075065623643, ""learning_rate"": 0.001, ""selected_epochs"": 4, ""weight_decay"": 0.0005}",0.3684210526315789,0.3666666666666667,0.38636363636363635,0.38095238095238093
GAT,40,5.0,True,"{""dropout"": 0.2, ""heads"": 2, ""hidden_channels"": 32, ""inner_score"": 0.5611757458506649, ""learning_rate"": 0.001, ""selected_epochs"": 3, ""weight_decay"": 0.0005}",0.5789473684210527,0.4571428571428572,0.5170454545454546,0.5441176470588236
GAT,41,5.0,True,"{""dropout"": 0.2, ""heads"": 4, ""hidden_channels"": 64, ""inner_score"": 0.5504536585953412, ""learning_rate"": 0.001, ""selected_epochs"": 1, ""weight_decay"": 0.0}",0.55,0.5396419437340154,0.5833333333333333,0.5707070707070707
GAT,42,5.0,True,"{""dropout"": 0.2, ""heads"": 4, ""hidden_channels"": 64, ""inner_score"": 0.5780947681642816, ""learning_rate"": 0.001, ""selected_epochs"": 2, ""weight_decay"": 0.0}",0.5,0.4857142857142857,0.5,0.5
GAT,43,5.0,True,"{""dropout"": 0.2, ""heads"": 2, ""hidden_channels"": 64, ""inner_score"": 0.5538592921468112, ""learning_rate"": 0.001, ""selected_epochs"": 2, ""weight_decay"": 0.0005}",0.3684210526315789,0.3522727272727273,0.6470588235294118,0.5714285714285714
GAT,44,5.0,True,"{""dropout"": 0.5, ""heads"": 2, ""hidden_channels"": 64, ""inner_score"": 0.5498278864578517, ""learning_rate"": 0.001, ""selected_epochs"": 7, ""weight_decay"": 0.0}",0.4857142857142857,0.4493006993006993,0.49346405228758167,0.4907407407407407
GAT,45,5.0,True,"{""dropout"": 0.5, ""heads"": 4, ""hidden_channels"": 32, ""inner_score"": 0.5593270284535138, ""learning_rate"": 0.001, ""selected_epochs"": 9, ""weight_decay"": 0.0005}",0.5263157894736842,0.5043478260869565,0.5192307692307692,0.5166666666666666
GAT,46,5.0,True,"{""dropout"": 0.5, ""heads"": 4, ""hidden_channels"": 32, ""inner_score"": 0.5529078256550443, ""learning_rate"": 0.001, ""selected_epochs"": 3, ""weight_decay"": 0.0}",0.631578947368421,0.6144927536231883,0.641025641025641,0.6222222222222222
GAT,47,5.0,True,"{""dropout"": 0.5, ""heads"": 2, ""hidden_channels"": 64, ""inner_score"": 0.5445467467043145, ""learning_rate"": 0.001, ""selected_epochs"": 1, ""weight_decay"": 0.0}",0.631578947368421,0.3870967741935484,0.3157894736842105,0.5
GAT,48,5.0,True,"{""dropout"": 0.5, ""heads"": 2, ""hidden_channels"": 64, ""inner_score"": 0.5402381617388062, ""learning_rate"": 0.001, ""selected_epochs"": 8, ""weight_decay"": 0.0005}",0.5,0.3333333333333333,0.5,0.25
GAT,49,5.0,True,"{""dropout"": 0.5, ""heads"": 4, ""hidden_channels"": 64, ""inner_score"": 0.5573478376378372, ""learning_rate"": 0.001, ""selected_epochs"": 8, ""weight_decay"": 0.0005}",0.3157894736842105,0.3081232492997199,0.30952380952380953,0.3222222222222222
GAT,50,5.0,True,"{""dropout"": 0.2, ""heads"": 4, ""hidden_channels"": 32, ""inner_score"": 0.5601378515877041, ""learning_rate"": 0.001, ""selected_epochs"": 7, ""weight_decay"": 0.0}",0.3157894736842105,0.28405797101449276,0.2785714285714286,0.3277777777777778
GAT,51,5.0,True,"{""dropout"": 0.2, ""heads"": 2, ""hidden_channels"": 64, ""inner_score"": 0.5506900245212762, ""learning_rate"": 0.001, ""selected_epochs"": 2, ""weight_decay"": 0.0}",0.65,0.6491228070175439,0.6515151515151515,0.6499999999999999
GAT,52,5.0,True,"{""dropout"": 0.5, ""heads"": 2, ""hidden_channels"": 64, ""inner_score"": 0.5612709292728654, ""learning_rate"": 0.001, ""selected_epochs"": 7, ""weight_decay"": 0.0005}",0.3333333333333333,0.25,0.2,0.3333333333333333
GAT,53,5.0,True,"{""dropout"": 0.5, ""heads"": 2, ""hidden_channels"": 64, ""inner_score"": 0.550705754770671, ""learning_rate"": 0.001, ""selected_epochs"": 3, ""weight_decay"": 0.0005}",0.65,0.561128526645768,0.59375,0.5659340659340659
GAT,54,5.0,True,"{""dropout"": 0.5, ""heads"": 4, ""hidden_channels"": 64, ""inner_score"": 0.5661890316708525, ""learning_rate"": 0.001, ""selected_epochs"": 10, ""weight_decay"": 0.0005}",0.6111111111111112,0.48148148148148145,0.48461538461538467,0.48214285714285715
