model,subject_id,threshold_used,neutral_label_removed,best_params,acc,f1,precision,recall
GAT,22,5.0,True,"{""dropout"": 0.5, ""heads"": 4, ""hidden_channels"": 64, ""inner_score"": 0.582716307936373, ""learning_rate"": 0.001, ""selected_epochs"": 6, ""weight_decay"": 0.0005}",0.625,0.6190476190476191,0.6333333333333333,0.625
GAT,23,5.0,True,"{""dropout"": 0.5, ""heads"": 4, ""hidden_channels"": 32, ""inner_score"": 0.555239185685913, ""learning_rate"": 0.001, ""selected_epochs"": 11, ""weight_decay"": 0.0005}",0.5,0.4666666666666667,0.5,0.5
GAT,24,5.0,True,"{""dropout"": 0.2, ""heads"": 4, ""hidden_channels"": 64, ""inner_score"": 0.5500823218539636, ""learning_rate"": 0.001, ""selected_epochs"": 2, ""weight_decay"": 0.0}",0.5,0.5,0.5,0.5
GAT,25,5.0,True,"{""dropout"": 0.5, ""heads"": 4, ""hidden_channels"": 32, ""inner_score"": 0.5838932422711666, ""learning_rate"": 0.001, ""selected_epochs"": 3, ""weight_decay"": 0.0005}",0.5,0.3333333333333333,0.25,0.5
GAT,26,5.0,True,"{""dropout"": 0.5, ""heads"": 4, ""hidden_channels"": 64, ""inner_score"": 0.5561033137098046, ""learning_rate"": 0.001, ""selected_epochs"": 4, ""weight_decay"": 0.0005}",0.875,0.8545454545454545,0.8333333333333333,0.9166666666666667
GAT,27,5.0,True,"{""dropout"": 0.5, ""heads"": 4, ""hidden_channels"": 64, ""inner_score"": 0.5655749319542424, ""learning_rate"": 0.001, ""selected_epochs"": 2, ""weight_decay"": 0.0}",0.5,0.3333333333333333,0.2857142857142857,0.4
GAT,28,5.0,True,"{""dropout"": 0.2, ""heads"": 4, ""hidden_channels"": 64, ""inner_score"": 0.5685141119001015, ""learning_rate"": 0.001, ""selected_epochs"": 2, ""weight_decay"": 0.0}",0.625,0.6190476190476191,0.6333333333333333,0.625
GAT,29,5.0,True,"{""dropout"": 0.5, ""heads"": 2, ""hidden_channels"": 64, ""inner_score"": 0.5613081298093008, ""learning_rate"": 0.001, ""selected_epochs"": 1, ""weight_decay"": 0.0}",0.375,0.2727272727272727,0.25,0.3
GAT,30,5.0,True,"{""dropout"": 0.2, ""heads"": 4, ""hidden_channels"": 64, ""inner_score"": 0.5796865281846508, ""learning_rate"": 0.001, ""selected_epochs"": 1, ""weight_decay"": 0.0005}",0.75,0.6666666666666667,0.6666666666666666,0.8571428571428572
GAT,31,5.0,True,"{""dropout"": 0.5, ""heads"": 4, ""hidden_channels"": 64, ""inner_score"": 0.5665563074895651, ""learning_rate"": 0.001, ""selected_epochs"": 1, ""weight_decay"": 0.0005}",0.625,0.5636363636363637,0.7857142857142857,0.625
GAT,32,5.0,True,"{""dropout"": 0.5, ""heads"": 4, ""hidden_channels"": 64, ""inner_score"": 0.5433917919887906, ""learning_rate"": 0.001, ""selected_epochs"": 2, ""weight_decay"": 0.0}",0.375,0.2727272727272727,0.21428571428571427,0.375
GAT,33,5.0,True,"{""dropout"": 0.2, ""heads"": 4, ""hidden_channels"": 64, ""inner_score"": 0.546421038861884, ""learning_rate"": 0.001, ""selected_epochs"": 1, ""weight_decay"": 0.0}",0.75,0.75,0.75,0.75
GAT,34,5.0,True,"{""dropout"": 0.5, ""heads"": 2, ""hidden_channels"": 64, ""inner_score"": 0.5898954405146372, ""learning_rate"": 0.001, ""selected_epochs"": 5, ""weight_decay"": 0.0}",0.625,0.5636363636363637,0.7857142857142857,0.625
GAT,35,5.0,True,"{""dropout"": 0.5, ""heads"": 4, ""hidden_channels"": 32, ""inner_score"": 0.5599768375091333, ""learning_rate"": 0.001, ""selected_epochs"": 7, ""weight_decay"": 0.0005}",0.375,0.2727272727272727,0.21428571428571427,0.375
GAT,36,5.0,True,"{""dropout"": 0.2, ""heads"": 2, ""hidden_channels"": 64, ""inner_score"": 0.5775499663636107, ""learning_rate"": 0.001, ""selected_epochs"": 1, ""weight_decay"": 0.0}",0.125,0.1111111111111111,0.1,0.125
GAT,37,5.0,True,"{""dropout"": 0.2, ""heads"": 4, ""hidden_channels"": 64, ""inner_score"": 0.5764388086523956, ""learning_rate"": 0.001, ""selected_epochs"": 3, ""weight_decay"": 0.0}",0.7142857142857143,0.7083333333333333,0.7083333333333333,0.7083333333333333
GAT,38,5.0,True,"{""dropout"": 0.5, ""heads"": 4, ""hidden_channels"": 64, ""inner_score"": 0.5527823589693553, ""learning_rate"": 0.001, ""selected_epochs"": 6, ""weight_decay"": 0.0005}",0.875,0.873015873015873,0.9,0.875
GAT,39,5.0,True,"{""dropout"": 0.5, ""heads"": 4, ""hidden_channels"": 64, ""inner_score"": 0.5945756852059473, ""learning_rate"": 0.001, ""selected_epochs"": 1, ""weight_decay"": 0.0005}",0.375,0.2727272727272727,0.1875,0.5
GAT,40,5.0,True,"{""dropout"": 0.5, ""heads"": 4, ""hidden_channels"": 32, ""inner_score"": 0.5754740219837946, ""learning_rate"": 0.001, ""selected_epochs"": 8, ""weight_decay"": 0.0}",0.75,0.6666666666666667,0.6666666666666666,0.8571428571428572
GAT,41,5.0,True,"{""dropout"": 0.5, ""heads"": 2, ""hidden_channels"": 32, ""inner_score"": 0.5390311493873761, ""learning_rate"": 0.001, ""selected_epochs"": 21, ""weight_decay"": 0.0}",0.5,0.4666666666666667,0.4666666666666667,0.4666666666666667
GAT,42,5.0,True,"{""dropout"": 0.2, ""heads"": 2, ""hidden_channels"": 32, ""inner_score"": 0.5605326924251538, ""learning_rate"": 0.001, ""selected_epochs"": 2, ""weight_decay"": 0.0}",0.625,0.5636363636363637,0.5833333333333333,0.5666666666666667
GAT,43,5.0,True,"{""dropout"": 0.2, ""heads"": 4, ""hidden_channels"": 64, ""inner_score"": 0.5761328490319215, ""learning_rate"": 0.001, ""selected_epochs"": 2, ""weight_decay"": 0.0}",0.375,0.36507936507936506,0.6428571428571428,0.5833333333333334
