subject_id,emotion,window_id,window_start_sec,window_end_sec,window_size_sec,overlap_sec,label_valence,SKT_mean,SKT_std,SKT_min,SKT_max,SKT_median,SKT_range,SKT_entropy,SKT_kurtosis,SKT_skewness,SKT_slope,SKT_deriv_mean,SKT_deriv_std,SKT_baseline_norm,EDA_mean,EDA_std,EDA_min,EDA_max,EDA_median,EDA_range,EDA_entropy,EDA_kurtosis,EDA_skewness,EDA_scr_count,EDA_scr_amplitude,PPG_mean,PPG_std,PPG_min,PPG_max,PPG_range,PPG_kurtosis,PPG_skewness,PPG_meanNN,PPG_sdnn,PPG_rmssd,PPG_pnn50
22,BASELINE,0,0,20,20,10,5,4.97E-13,1.002672393,-2.805338469,1.736256335,0.0899458,4.541594804,2.931411531,0.789531381,-0.761383433,-2.00E-14,0.026723537,0.807768166,-21.92688151,-2.53E-07,0.993730366,-1.855423212,1.888941288,0.0071823,3.7443645,3.22555687,-0.941890955,0.182678953,4,0.658544448,-1.310266901,78.75084393,-452.527639,354.0289168,806.5565557,4.216262035,-0.142304855,702.5462963,243.2410197,363.2860964,51.85185185
22,BASELINE,1,10,30,20,10,5,4.44E-13,1.340737706,-2.553762153,3.448344278,-0.548137253,6.002106432,1.420163765,0.529818607,0.607941413,-7.94E-15,-0.025410802,0.980524555,-21.92688157,3.18E-06,0.993730366,-1.44938457,1.993804812,-0.228026837,3.443189383,3.173751101,-0.904749632,0.557578862,21,0.024424562,1.124182712,53.77421575,-187.238749,160.6662669,347.9050159,0.268756979,-0.275406756,756.25,174.2847175,271.6459164,72
22,BASELINE,2,20,40,20,10,5,-4.97E-13,1.41514074,-2.113972435,3.464214309,-0.168780234,5.578186743,2.874534652,0.612103622,1.019729199,-2.45E-14,-0.016878023,1.0505807,-21.92688251,-1.50E-06,0.993730307,-1.724163175,1.708100796,-0.05820936,3.432263851,3.278991625,-1.246033192,0.013072054,23,0.034861513,0.076516609,42.52406766,-112.5306839,73.26376048,185.7944444,-0.705336767,-0.517664878,755,119.6545864,203.7001073,56
22,BASELINE,3,30,50,20,10,5,2.04E-13,1.38532043,-2.316321182,3.223421175,0.018847126,5.539742357,3.09502517,-0.60237632,0.319394516,-1.68E-14,0.041444924,1.005057598,-21.92688181,2.98E-06,0.993730366,-1.970416784,2.307219028,0.00173692,4.277635574,3.136903984,-0.754558086,0.088409714,3,0.924733177,0.165211401,53.63937144,-241.3828564,146.7008262,388.0836826,1.449199869,-0.574057672,809.7826087,115.3648192,159.3443598,56.52173913
22,BASELINE,4,40,60,20,10,5,-4.09E-13,1.230055177,-2.187133978,2.224124979,-0.004008531,4.411258957,3.233485813,-1.126299295,0.016969646,7.58E-15,0.039850889,0.980524555,-21.92688242,-2.68E-08,0.993730426,-1.543617725,2.714219332,-0.08323507,4.257837296,2.991604429,-0.452439308,0.386718959,2,1.063584677,0.794111654,56.87062378,-241.384413,146.6899475,388.0743605,0.883733778,-0.600546003,810.4619565,129.9024734,176.4625371,52.17391304
22,BASELINE,5,50,70,20,10,5,-3.46E-13,1.218515647,-1.983925193,2.910812519,-0.091412335,4.894737712,3.134917229,-0.418880437,0.405577859,-1.52E-14,0.012933952,1.054189103,-21.92688236,-6.50E-07,0.993730366,-1.730705976,1.647886753,0.08318574,3.37859273,3.285494465,-1.127789021,-0.105585165,13,0.067437108,-0.521634433,48.53594916,-121.0590659,73.10958337,194.1686492,-0.825620485,-0.673106126,743.9903846,89.82153781,126.8996282,38.46153846
22,BASELINE,6,60,80,20,10,5,-2.22E-13,1.236927503,-1.805960896,3.746602009,-0.085337089,5.552562905,2.806682672,1.337126753,1.010362834,-2.26E-14,-0.003373763,0.949233727,-21.92688223,-2.86E-06,0.993730426,-1.539154291,2.180749655,-0.327628493,3.719903946,3.175395442,-0.745276451,0.541316867,6,0.509544129,0.108218839,65.9085176,-356.6161543,296.4487324,653.0648867,5.147679724,-0.569852893,688.6574074,97.85925303,148.989989,48.14814815
22,BASELINE,7,70,90,20,10,5,-7.28E-13,1.443855882,-2.649408775,5.073798247,-0.345108924,7.723207022,2.230588147,2.265416065,0.794186438,4.45E-15,-0.039565457,0.777830831,-21.92688274,-9.27E-07,0.993730426,-1.875951171,1.846685767,0.282794356,3.722636938,3.126344669,-1.13340497,-0.341303855,6,0.31686188,-0.701303718,70.53114243,-356.6162637,296.4472152,653.0634789,3.585720119,-0.462662885,707.7546296,134.2585877,197.3808748,77.77777778
22,BASELINE,8,80,100,20,10,5,4.97E-13,0.782095626,-2.017767701,1.565436673,-0.0717316,3.583204374,2.932347471,0.3271786,-0.353530934,-1.30E-14,0.018565826,0.634443082,-21.92688151,-2.37E-06,0.993730366,-1.534927368,1.852967978,-0.022472929,3.387895346,3.268290195,-1.111082673,0.199985534,13,0.078017843,-0.697099866,49.81767564,-156.8824324,130.4305082,287.3129406,-0.217418407,-0.4988981,758.125,138.5201268,219.5854582,72
22,BASELINE,9,90,110,20,10,5,6.13E-13,1.090528656,-2.078809886,2.078809886,-0.03600645,4.157619771,1.857923942,0.316336373,0.140481044,-1.03E-14,0.004500806,0.779501604,-21.9268814,-1.43E-06,0.993730366,-1.544802427,1.983391404,-0.041628875,3.528193951,3.266174868,-1.146373749,0.157812268,16,0.074617092,0.873027434,41.94516119,-110.858235,85.52245141,196.3806864,-0.686777725,-0.726107928,777.34375,103.9768424,139.5642359,58.33333333
22,BASELINE,10,100,120,20,10,5,-7.82E-13,1.443941865,-3.098755393,2.399993473,0.002573901,5.498748865,2.859556217,-0.494712122,-0.311741643,1.78E-14,-0.040504252,0.841935022,-21.92688279,2.36E-06,0.993730366,-1.817675829,1.67130816,0.106696174,3.488984108,3.304805323,-1.108051896,-0.104784489,21,0.037457382,0.585595442,42.02521002,-100.2466248,68.67323741,168.9198622,-0.768221458,-0.718576383,766.9270833,102.7100374,168.1917598,54.16666667
22,BASELINE,11,110,130,20,10,5,-3.55E-14,1.546604751,-3.181544678,2.786238975,0.017458839,5.967783653,2.985117906,-0.866484856,-0.026903433,-2.17E-14,0.04397407,1.250461463,-21.92688205,1.24E-06,0.993730366,-1.395007968,3.099992752,-0.016287928,4.495000839,2.838601842,0.862312078,0.986373007,1,2.753523166,0.396193361,52.76979896,-222.367077,139.5796064,361.9466834,0.980286686,-0.651757104,752.6041667,150.2705516,244.3093846,83.33333333
22,BASELINE,12,120,140,20,10,5,6.13E-13,1.609075517,-2.951943652,3.004496222,-0.533267051,5.956439874,3.109795011,-1.072931353,0.260843469,2.89E-15,0.007313256,1.31103116,-21.9268814,-7.15E-08,0.993730366,-1.209428787,2.423607349,-0.031352103,3.633036137,2.902309173,-0.867454529,0.526403546,3,1.330492699,0.941869092,55.13223782,-240.9985801,139.5293334,380.5279136,1.047305877,-0.749840595,745.625,141.0237402,202.9245806,76
22,BASELINE,13,130,150,20,10,5,-8.97E-13,1.420734968,-2.588784052,2.768581885,-0.13092189,5.357365937,3.095442848,-0.884405831,0.154853668,-8.82E-15,-0.025785869,0.807768166,-21.92688291,-8.05E-07,0.993730366,-1.41298914,2.453947544,-0.249244392,3.866936684,3.066622187,-0.028375149,0.872898221,2,0.993220986,-0.368996086,49.49850521,-165.464046,185.8900792,351.3541252,0.45324099,-0.372429218,712.962963,142.4262411,215.3539615,70.37037037
22,BASELINE,14,140,160,20,10,5,2.04E-13,1.077248584,-2.002788455,2.102790744,-0.014557295,4.105579199,3.263514105,-0.910575962,-0.048334648,-2.23E-14,0.009282913,0.663093701,-21.92688181,1.26E-06,0.993730366,-1.307934165,2.268570662,-0.277264893,3.576504707,2.997401625,-0.881129265,0.519985259,12,0.072458946,0.452899295,55.5243038,-168.6764539,185.8748968,354.5513507,0.073858269,-0.405360589,671.875,157.4605881,245.8605505,78.57142857
22,BASELINE,15,150,170,20,10,5,2.04E-13,0.86245056,-2.231063722,1.525702993,0.166740806,3.756766715,2.972405371,-0.025467162,-0.656513229,-2.23E-14,-0.013783719,0.670782001,-21.92688181,7.39E-07,0.993730366,-1.635650873,1.774588823,0.022104423,3.410239697,3.22772423,-1.0637151,0.117414415,17,0.160918923,0.24864058,61.12117967,-176.2954831,133.4977691,309.7932522,-0.564584547,-0.514507008,718.75,111.6285694,157.9903082,65.38461538
22,BASELINE,16,160,180,20,10,5,9.59E-13,1.194019778,-2.026918266,2.963596658,-0.143514102,4.990514924,3.023487834,-0.183121534,0.417047235,-1.25E-14,0.023629394,0.949233727,-21.92688105,-3.31E-07,0.993730307,-2.006999016,1.548933983,0.123845518,3.555932999,3.09663089,-0.620015144,-0.440815508,16,0.123322828,-0.437483618,62.94845854,-170.2594143,161.6639963,331.9234106,-0.591508132,-0.397755356,742.1875,136.8771404,200.1464308,53.84615385
22,BASELINE,17,170,190,20,10,5,3.20E-13,1.426011802,-2.531274039,2.915125752,-8.58E-05,5.446399791,3.233561475,-0.929126502,0.123714579,-1.40E-14,0.00806339,1.00499058,-21.92688169,1.62E-06,0.993730366,-1.350331903,1.827776432,-0.358994961,3.178108215,2.95552644,-1.343714237,0.448255301,16,0.097231028,-0.638038149,64.57333274,-191.3519291,234.9442649,426.2961941,0.352791014,-0.062565409,742.7884615,202.0998539,202.8122592,46.15384615
22,BASELINE,18,180,200,20,10,5,1.42E-13,0.99354401,-1.627515895,2.618375989,-0.047810582,4.245891884,3.017091267,0.132152992,0.608564077,-1.41E-14,-0.012564053,0.709767327,-21.92688187,3.05E-06,0.993730366,-1.914271235,1.593420863,0.22259675,3.507692099,3.16628233,-1.168477178,-0.17876938,14,0.178614353,0.057984335,57.40138588,-191.7063442,234.719072,426.4254162,1.557383186,0.074356519,747.3958333,177.7746523,201.7354225,58.33333333
22,BASELINE,19,190,210,20,10,5,-1.51E-13,1.337911224,-1.51381016,2.62854154,0.454765589,4.1423517,1.880343388,-0.882507427,0.340178359,-1.62E-14,0.021659558,0.502490365,-21.92688216,-1.19E-07,0.993730366,-2.096142292,2.230115414,0.199130833,4.326257706,3.114631586,-0.857243538,-0.129686743,17,0.110442962,-0.305536717,44.78936313,-154.9020827,154.185728,309.0878107,0.520239966,-0.439743861,697.9166667,112.6734774,165.2742567,55.55555556
22,BASELINE,20,200,220,20,10,5,4.97E-13,0.74736604,-1.619686242,1.526422232,-0.010316391,3.146108474,3.190937606,-0.578381152,-0.004379218,-2.34E-14,0.006376303,0.438483004,-21.92688151,-1.83E-06,0.993730366,-1.458316922,1.927819014,-0.163617998,3.386136055,3.156589955,-1.287044525,0.236989096,19,0.04259573,-0.149230795,47.48447445,-139.9015833,120.5909963,260.4925796,-0.405155993,-0.443261735,687.5,125.8982151,177.862281,62.96296296
22,BASELINE,21,210,230,20,10,5,8.35E-13,1.239162097,-2.50460491,2.689137966,-0.085890386,5.193742876,3.151170562,-0.500080765,0.208940851,-9.66E-16,-0.012189684,0.709780588,-21.92688118,-3.17E-06,0.993730366,-1.832999587,2.377035379,-0.350592077,4.210034847,3.056487991,-0.880700588,0.475324035,21,0.111277185,0.079626285,60.93353079,-256.36958,251.7254866,508.0950665,2.62561274,-0.303795397,732.5721154,161.6157989,238.0749619,69.23076923
22,BASELINE,22,220,240,20,10,5,0,1.43877587,-2.362595096,3.622539545,-0.039991539,5.985134642,2.521230188,0.30866291,0.447248725,5.33E-15,-0.015002687,1.147395293,-21.92688201,6.26E-07,0.993730366,-2.035310507,1.301021576,0.228626773,3.336332083,3.171361893,-1.076782584,-0.500546336,14,0.243205911,0.097151819,55.5385659,-256.3663363,251.7267599,508.0930962,4.425326725,-0.304751324,716.9471154,131.7940305,202.1611749,38.46153846
22,BASELINE,23,230,250,20,10,5,-5.68E-13,1.600656241,-3.775191891,3.837921878,0.100002289,7.613113768,2.785110447,0.50359391,-0.009324368,-2.10E-14,0.016315423,1.23145973,-21.92688258,2.10E-06,0.993730366,-1.498477817,1.944253683,0.190408245,3.44273138,3.043191218,-1.336356997,-0.175534084,16,0.11286048,-0.308036992,45.02446743,-156.153303,104.2745004,260.4278033,-0.321449394,-0.584439697,706.0185185,119.6289772,171.9023143,40.74074074
22,BASELINE,24,240,260,20,10,5,-1.69E-13,1.214628767,-3.900323681,2.161512201,0.110832354,6.061835881,2.515804286,2.503828348,-1.320147468,3.52E-15,0.011627083,0.894376001,-21.92688218,-7.47E-06,0.993730366,-1.46206677,2.363618851,-0.224346206,3.825685501,2.790427928,0.153758287,0.937000692,20,0.06949287,-0.621589676,49.83639316,-156.1361762,104.2968098,260.432986,-0.585224111,-0.509676192,707.1759259,135.3575849,171.4099916,51.85185185
22,BASELINE,25,250,270,20,10,5,-2.49E-13,0.869044549,-2.136124111,1.503609104,0.082130486,3.639733216,3.075771794,-0.072527928,-0.63403142,-2.44E-14,-0.013034711,0.670710562,-21.92688226,1.26E-06,0.993730366,-1.670854211,1.614537477,0.042240843,3.285391808,3.308871844,-1.273112297,-0.029891768,19,0.079001169,0.432251854,45.42946109,-123.8898324,89.44564293,213.3354753,-0.762119882,-0.624911475,693.6383929,80.83710142,92.73173862,14.28571429
22,BASELINE,26,260,280,20,10,5,-3.55E-13,0.96732899,-1.645582184,1.906239947,0.015382485,3.551822131,3.174583834,-0.714918259,0.265398798,-8.86E-15,0.018473078,0.742376668,-21.92688237,-5.18E-06,0.993730307,-1.919403195,1.882264495,-0.137372643,3.80166769,3.253824435,-0.938251734,0.122920938,17,0.244929446,-0.476697797,49.36414044,-182.554891,151.4798194,334.0347104,0.154346281,-0.663702394,695.3125,114.9378984,166.7209113,21.42857143
22,BASELINE,27,270,290,20,10,5,8.62E-13,1.435213028,-2.563724876,2.356406488,-0.096345384,4.920131363,3.148726825,-1.240915387,0.042775196,-1.52E-14,0.017628158,0.949304424,-21.92688115,-1.75E-06,0.993730366,-2.029283762,1.886627316,0.208381131,3.915911198,3.173256067,-0.85373497,-0.42989859,16,0.247879333,-0.058795656,50.31880568,-182.4245731,151.7455747,334.1701477,0.119520712,-0.582648879,724.1586538,139.6103889,217.0694373,42.30769231
22,BASELINE,28,280,300,20,10,5,-3.29E-13,1.214188649,-2.881922501,2.153729556,0.188283728,5.035652057,3.133271338,-0.208314793,-0.539911094,-1.88E-14,0.007126277,0.835845663,-21.92688234,5.60E-07,0.993730366,-1.649667144,1.960422993,-0.090765305,3.610090256,3.269228827,-1.08471334,0.191365808,21,0.075196131,-0.218949219,42.33278098,-120.2708548,102.1632783,222.4341331,-0.548817851,-0.672523896,736.1778846,73.99415664,83.91075989,26.92307692
22,BASELINE,29,290,310,20,10,5,4.80E-13,0.941152694,-2.499424295,1.984222629,0.087976697,4.483646924,2.905718542,0.413084353,-0.336330891,-3.00E-14,-0.016034122,0.590489656,-21.92688153,-6.26E-08,0.993730366,-1.718351364,1.890326142,-0.111360922,3.608677387,3.220633985,-1.193456173,0.216939121,20,0.115633565,-0.130864862,46.73396235,-166.875085,107.6351856,274.5102706,-0.226860003,-0.613279088,722.3557692,163.6562048,224.4785625,61.53846154
22,ANGER,0,0,20,20,10,2,8.44E-13,1.229287461,-2.528814887,2.243567796,0.162469074,4.772382683,3.230113397,-0.762698933,-0.146886125,-1.38E-14,0.002154222,0.980396638,-21.92688117,-1.72E-06,0.993730426,-1.682071924,6.464914799,0.003509463,8.146986961,1.872637792,19.93364334,3.328234911,17,0.661119321,0.194270243,55.02602631,-173.8265923,224.6841467,398.510739,1.244853877,0.118601249,755,233.6673344,290.7992589,72
22,ANGER,1,10,30,20,10,2,2.84E-13,1.438671675,-2.482278585,3.802503871,-0.100078583,6.284782456,2.74105806,0.565991027,0.628635084,-1.72E-14,-0.0150014,1.102294136,-21.92688173,-3.99E-06,0.993730307,-2.731709957,2.297371864,0.011422673,5.029081821,2.980646913,0.133117437,-0.172430426,24,0.60731151,-0.471981512,43.37688743,-121.6052049,57.80675987,179.4119648,-0.854819441,-0.652325241,804.0364583,99.78100667,139.640272,75
22,ANGER,2,20,40,20,10,2,-1.42E-13,1.305822532,-2.752218823,3.208522609,-0.640012899,5.960741432,1.395461844,0.157632133,0.488347872,-2.88E-14,0.00300111,1.055422712,-21.92688215,9.82E-07,0.993730247,-1.242118359,6.912832737,-0.033979051,8.154951096,1.605730189,26.62467957,4.038544655,16,0.855124231,-0.557199868,39.71561209,-96.45258102,60.1147639,156.5673449,-0.861472982,-0.661368037,770.625,54.07393906,82.12420329,48
