model,subject_id,acc,f1,precision,recall
SVM,22,0.6048387096774194,0.7537688442211056,0.6048387096774194,1.0
SVM,23,0.6693548387096774,0.8019323671497585,0.6693548387096774,1.0
SVM,24,0.6991869918699187,0.8229665071770335,0.6991869918699187,1.0
SVM,25,0.6693548387096774,0.8019323671497585,0.6916666666666667,0.9540229885057471
SVM,26,0.8548387096774194,0.9217391304347826,0.8688524590163934,0.9814814814814815
SVM,27,0.736,0.847926267281106,0.736,1.0
SVM,28,0.6991869918699187,0.8229665071770335,0.6991869918699187,1.0
SVM,29,0.4596774193548387,0.6298342541436464,0.4596774193548387,1.0
SVM,30,0.4715447154471545,0.6368715083798883,0.4830508474576271,0.9344262295081968
SVM,31,0.6991869918699187,0.821256038647343,0.7083333333333334,0.9770114942528736
SVM,32,0.6693548387096774,0.8019323671497585,0.6693548387096774,1.0
SVM,33,0.6991869918699187,0.8229665071770335,0.6991869918699187,1.0
SVM,34,0.6612903225806451,0.7961165048543689,0.6612903225806451,1.0
SVM,35,0.8211382113821138,0.9017857142857143,0.8278688524590164,0.9901960784313726
SVM,36,0.6,0.75,0.6944444444444444,0.8152173913043478
SVM,37,0.7280701754385965,0.8426395939086294,0.7280701754385965,1.0
SVM,38,0.696,0.8207547169811321,0.696,1.0
SVM,39,0.8225806451612904,0.9026548672566371,0.8225806451612904,1.0
SVM,40,1.0,1.0,1.0,1.0
SVM,41,0.824,0.9035087719298246,0.824,1.0
SVM,42,0.5409836065573771,0.7021276595744681,0.5409836065573771,1.0
SVM,43,0.6209677419354839,0.7661691542288557,0.6209677419354839,1.0
SVM,44,0.8793103448275862,0.9357798165137615,0.8793103448275862,1.0
SVM,45,0.7096774193548387,0.8301886792452831,0.7096774193548387,1.0
SVM,46,0.6991869918699187,0.8229665071770335,0.6991869918699187,1.0
SVM,47,0.6097560975609756,0.7575757575757576,0.6097560975609756,1.0
SVM,48,1.0,1.0,1.0,1.0
SVM,49,0.7016129032258065,0.8246445497630331,0.7016129032258065,1.0
SVM,50,0.7016129032258065,0.8246445497630331,0.7016129032258065,1.0
SVM,51,0.6904761904761905,0.8169014084507042,0.6904761904761905,1.0
SVM,52,0.6967213114754098,0.821256038647343,0.6967213114754098,1.0
SVM,53,0.336,0.5029940119760479,0.336,1.0
SVM,54,0.7479674796747967,0.8544600938967136,0.7583333333333333,0.978494623655914
SVM,55,0.8225806451612904,0.9026548672566371,0.8225806451612904,1.0
SVM,56,0.5853658536585366,0.7384615384615385,0.5853658536585366,1.0
SVM,57,0.45528455284552843,0.6256983240223464,0.45528455284552843,1.0
SVM,58,0.3584905660377358,0.5277777777777778,0.3584905660377358,1.0
SVM,59,0.7580645161290323,0.8623853211009175,0.7580645161290323,1.0
SVM,60,0.7049180327868853,0.8269230769230769,0.7049180327868853,1.0
SVM,61,0.9105691056910569,0.9531914893617022,0.9105691056910569,1.0
SVM,62,0.7478260869565218,0.8557213930348259,0.7478260869565218,1.0
SVM,63,0.717741935483871,0.8356807511737089,0.717741935483871,1.0
SVM,64,0.696,0.8207547169811321,0.696,1.0
Random Forest,22,0.6048387096774194,0.7487179487179487,0.6083333333333333,0.9733333333333334
Random Forest,23,0.6048387096774194,0.7407407407407407,0.660377358490566,0.8433734939759037
Random Forest,24,0.6504065040650406,0.7794871794871795,0.6972477064220184,0.8837209302325582
Random Forest,25,0.5887096774193549,0.6433566433566433,0.8214285714285714,0.5287356321839081
Random Forest,26,0.6612903225806451,0.7857142857142857,0.875,0.7129629629629629
Random Forest,27,0.728,0.8425925925925926,0.7338709677419355,0.9891304347826086
Random Forest,28,0.6747967479674797,0.797979797979798,0.7053571428571429,0.9186046511627907
Random Forest,29,0.46774193548387094,0.547945205479452,0.449438202247191,0.7017543859649122
Random Forest,30,0.4796747967479675,0.41818181818181815,0.46938775510204084,0.3770491803278688
Random Forest,31,0.4634146341463415,0.5352112676056338,0.6909090909090909,0.4367816091954023
Random Forest,32,0.532258064516129,0.6588235294117647,0.6436781609195402,0.6746987951807228
Random Forest,33,0.5772357723577236,0.7011494252873564,0.6931818181818182,0.7093023255813954
Random Forest,34,0.6612903225806451,0.7961165048543689,0.6612903225806451,1.0
Random Forest,35,0.7804878048780488,0.8744186046511628,0.831858407079646,0.9215686274509803
Random Forest,36,0.544,0.6225165562913907,0.7966101694915254,0.5108695652173914
Random Forest,37,0.7105263157894737,0.8290155440414507,0.7272727272727273,0.963855421686747
Random Forest,38,0.696,0.8207547169811321,0.696,1.0
Random Forest,39,0.7419354838709677,0.8461538461538461,0.8301886792452831,0.8627450980392157
Random Forest,40,0.6048387096774194,0.7537688442211056,1.0,0.6048387096774194
Random Forest,41,0.832,0.905829596412556,0.8416666666666667,0.9805825242718447
Random Forest,42,0.6311475409836066,0.7337278106508875,0.6019417475728155,0.9393939393939394
Random Forest,43,0.6129032258064516,0.7525773195876289,0.6239316239316239,0.948051948051948
Random Forest,44,0.867816091954023,0.9283489096573209,0.8869047619047619,0.9738562091503268
Random Forest,45,0.47580645161290325,0.6285714285714286,0.632183908045977,0.625
