model,subject_id,threshold_used,neutral_label_removed,best_params,acc,f1,precision,recall
SVM,22,5,True,"{'clf__C': 1, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.5060240963855421,0.5060240963855421,0.5526315789473685,0.4666666666666667
SVM,23,5,True,"{'clf__C': 1, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.4578313253012048,0.4,0.45454545454545453,0.35714285714285715
SVM,24,5,True,"{'clf__C': 10, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.5365853658536586,0.62,0.5636363636363636,0.6888888888888889
SVM,25,5,True,"{'clf__C': 1, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.5301204819277109,0.417910447761194,0.6666666666666666,0.30434782608695654
SVM,26,5,True,"{'clf__C': 1, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.6024096385542169,0.35294117647058826,0.3,0.42857142857142855
SVM,27,5,True,"{'clf__C': 10, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.5,0.5882352941176471,0.5882352941176471,0.5882352941176471
SVM,28,5,True,"{'clf__C': 1, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.4634146341463415,0.5319148936170213,0.4807692307692308,0.5952380952380952
SVM,29,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.6867469879518072,0.6666666666666666,0.8125,0.5652173913043478
SVM,30,5,True,"{'clf__C': 1, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.7073170731707317,0.3684210526315789,0.25,0.7
SVM,31,5,True,"{'clf__C': 1, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.5487804878048781,0.3018867924528302,0.47058823529411764,0.2222222222222222
SVM,32,5,True,"{'clf__C': 1, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.5180722891566265,0.5121951219512195,0.525,0.5
SVM,33,5,True,"{'clf__C': 1, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.4634146341463415,0.42105263157894735,0.5161290322580645,0.35555555555555557
SVM,34,5,True,"{'clf__C': 1, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.46987951807228917,0.6271186440677966,0.4805194805194805,0.9024390243902439
SVM,35,5,True,"{'clf__C': 1, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.5365853658536586,0.3870967741935484,0.46153846153846156,0.3333333333333333
SVM,36,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.5595238095238095,0.5542168674698795,0.5476190476190477,0.5609756097560976
SVM,37,5,True,"{'clf__C': 1, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.410958904109589,0.410958904109589,0.4838709677419355,0.35714285714285715
SVM,38,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.5238095238095238,0.4444444444444444,0.5333333333333333,0.38095238095238093
SVM,39,5,True,"{'clf__C': 1, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.42168674698795183,0.4418604651162791,0.34545454545454546,0.6129032258064516
SVM,40,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.5180722891566265,0.6551724137931034,0.8085106382978723,0.5507246376811594
SVM,41,5,True,"{'clf__C': 10, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.5714285714285714,0.6785714285714286,0.5846153846153846,0.8085106382978723
SVM,42,5,True,"{'clf__C': 10, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.48148148148148145,0.5116279069767442,0.7096774193548387,0.4
SVM,43,5,True,"{'clf__C': 1, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.4939759036144578,0.25,0.2,0.3333333333333333
SVM,44,5,True,"{'clf__C': 10, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.5939849624060151,0.7378640776699029,0.7238095238095238,0.7524752475247525
SVM,45,5,True,"{'clf__C': 1, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.5783132530120482,0.5454545454545454,0.525,0.5675675675675675
SVM,46,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.524390243902439,0.4657534246575342,0.5483870967741935,0.40476190476190477
SVM,47,5,True,"{'clf__C': 1, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.5609756097560976,0.4375,0.42424242424242425,0.45161290322580644
SVM,48,5,True,"{'clf__C': 10, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.2,0.3333333333333333,1.0,0.2
SVM,49,5,True,"{'clf__C': 1, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.4578313253012048,0.26229508196721313,0.42105263157894735,0.19047619047619047
SVM,50,5,True,"{'clf__C': 1, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.4457831325301205,0.41025641025641024,0.4444444444444444,0.38095238095238093
SVM,51,5,True,"{'clf__C': 10, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.5058823529411764,0.58,0.5370370370370371,0.6304347826086957
SVM,52,5,True,"{'clf__C': 10, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.43209876543209874,0.425,0.4358974358974359,0.4146341463414634
SVM,53,5,True,"{'clf__C': 1, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.4880952380952381,0.37681159420289856,0.34210526315789475,0.41935483870967744
SVM,54,5,True,"{'clf__C': 1, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.43902439024390244,0.30303030303030304,0.21739130434782608,0.5
SVM,55,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.5180722891566265,0.5555555555555556,0.625,0.5
SVM,56,5,True,"{'clf__C': 1, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.5121951219512195,0.5348837209302325,0.7931034482758621,0.40350877192982454
SVM,57,5,True,"{'clf__C': 1, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.524390243902439,0.4657534246575342,0.53125,0.4146341463414634
SVM,58,5,True,"{'clf__C': 1, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.36923076923076925,0.3492063492063492,0.275,0.4782608695652174
SVM,59,5,True,"{'clf__C': 1, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.5542168674698795,0.3728813559322034,0.39285714285714285,0.3548387096774194
SVM,60,5,True,"{'clf__C': 1, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.4444444444444444,0.4578313253012048,0.4523809523809524,0.4634146341463415
SVM,61,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.5365853658536586,0.5957446808510638,0.6511627906976745,0.5490196078431373
SVM,62,5,True,"{'clf__C': 10, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.5,0.5647058823529412,0.6,0.5333333333333333
SVM,63,5,True,"{'clf__C': 1, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.4457831325301205,0.43902439024390244,0.32727272727272727,0.6666666666666666
SVM,64,5,True,"{'clf__C': 10, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.5952380952380952,0.6222222222222222,0.6363636363636364,0.6086956521739131
Random Forest,22,5,True,"{'clf__max_depth': 5, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 2, 'clf__n_estimators': 200}",0.5301204819277109,0.6138613861386139,0.5535714285714286,0.6888888888888889
Random Forest,23,5,True,"{'clf__max_depth': 5, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__n_estimators': 100}",0.39759036144578314,0.4791666666666667,0.42592592592592593,0.5476190476190477
Random Forest,24,5,True,"{'clf__max_depth': 5, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__n_estimators': 200}",0.5121951219512195,0.6078431372549019,0.543859649122807,0.6888888888888889
Random Forest,25,5,True,"{'clf__max_depth': 5, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__n_estimators': 200}",0.4939759036144578,0.25,0.7,0.15217391304347827
Random Forest,26,5,True,"{'clf__max_depth': 5, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__n_estimators': 200}",0.5903614457831325,0.41379310344827586,0.32432432432432434,0.5714285714285714
Random Forest,27,5,True,"{'clf__max_depth': 5, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__n_estimators': 200}",0.5357142857142857,0.6829268292682927,0.5833333333333334,0.8235294117647058
Random Forest,28,5,True,"{'clf__max_depth': 10, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__n_estimators': 100}",0.47560975609756095,0.5567010309278351,0.4909090909090909,0.6428571428571429
